Descripcion,Codigo,Categoria,Benavídez,Gallo,Anea,Pilar,Tortuguitas,Del Viso,Chica Glade,San Martín,Hipocampus,Mundo Mascotas,Yaguar,King Clor,Diserquim,Moreno,Roberto,Viejo Gets,Viejo Cuero,Mis Nietos,Profesional Vet,Premier,Dacam
Abrigo Huellitas N° 5,4430.0,Mascotas,,,2315.0,,,,,,1539.0,2365.0,,,,,,,,,,,
Abrigo Huellitas N° 6,4431.0,Mascotas,,,2514.0,,,,,,1683.0,2626.0,,,,,,,,,,,
Abrigo Huellitas N° 7,4432.0,Mascotas,,,2752.0,,,,,,1935.0,2862.0,,,,,,,,,,,
Abrigo Huellitas N° 8,4433.0,Mascotas,,,2977.0,,,,,,2242.0,3097.0,,,,,,,,,,,
Abrigo Huellitas N° 9,4434.0,Mascotas,,,3241.0,,,,,,2458.0,3528.0,,,,,,,,,,,
Abrigo Liso N° 0,4001.0,Mascotas,,,992.0,,,,,,528.0,1058.0,,,,,,,,,,,
Abrigo Liso N° 1,4002.0,Mascotas,,,1297.0,,,,,,649.0,1411.0,,,,,,,,,,,
Abrigo Liso N° 10,4003.0,Mascotas,,,3175.0,,,,,,2343.0,3450.0,,,,,,,,,,,
Abrigo Liso N° 11,4004.0,Mascotas,,,3506.0,,,,,,2508.0,3763.0,,,,,,,,,,,
Abrigo Liso N° 12,8206.0,Mascotas,,,3956.0,,,,,,2758.0,4234.0,,,,,,,,,,,
Abrigo Liso N° 2,4005.0,Mascotas,,,1455.0,,,,,,924.0,1568.0,,,,,,,,,,,
Abrigo Liso N° 3,4006.0,Mascotas,,,1654.0,,,,,,1072.0,1803.0,,,,,,,,,,,
Abrigo Liso N° 4,4007.0,Mascotas,,,1918.0,,,,,,1243.0,2117.0,,,,,,,,,,,
Abrigo Liso N° 5,4008.0,Mascotas,,,2064.0,,,,,,1386.0,2274.0,,,,,,,,,,,
Abrigo Liso N° 6,4009.0,Mascotas,,,2315.0,,,,,,1617.0,2509.0,,,,,,,,,,,
Abrigo Liso N° 7,4010.0,Mascotas,,,2514.0,,,,,,1773.0,2626.0,,,,,,,,,,,
Abrigo Liso N° 8,4011.0,Mascotas,,,2778.0,,,,,,1908.0,3214.0,,,,,,,,,,,
Abrigo Liso N° 9,4012.0,Mascotas,,,2977.0,,,,,,2128.0,3018.0,,,,,,,,,,,
Abrigo Matelasse N° 10,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 11,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 12,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 3,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 4,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 5,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 6,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 7,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 8,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Matelasse N° 9,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Polar Animado N° 1,1906068.0,Mascotas,,,,,,,,,2906.0,,,,,,,,,,,,
Abrigo Polar Animado N° 2,1906068.0,Mascotas,,,,,,,,,3052.0,,,,,,,,,,,,
Abrigo Polar Animado N° 3,1906068.0,Mascotas,,,,,,,,,3205.0,,,,,,,,,,,,
Abrigo Polar Animado N° 4,1906068.0,Mascotas,,,,,,,,,3461.0,,,,,,,,,,,,
Abrigo Polar Animado N° 5,1906068.0,Mascotas,,,,,,,,,3635.0,,,,,,,,,,,,
Abrigo Polar Animado N° 6,1906068.0,Mascotas,,,,,,,,,3818.0,,,,,,,,,,,,
Abrigo Polar Animado N° 7,1906068.0,Mascotas,,,,,,,,,4123.0,,,,,,,,,,,,
Abrigo Polar Animado N° 8,1906068.0,Mascotas,,,,,,,,,4329.0,,,,,,,,,,,,
Abrigo Polar Animado N° 9,1906068.0,Mascotas,,,,,,,,,4547.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 0,,Mascotas,,,,,,,,,1806.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 1,,Mascotas,,,,,,,,,1958.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 10,,Mascotas,,,,,,,,,4396.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 11,,Mascotas,,,,,,,,,4745.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 12,,Mascotas,,,,,,,,,5103.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 2,,Mascotas,,,,,,,,,2216.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 3,,Mascotas,,,,,,,,,2400.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 4,,Mascotas,,,,,,,,,2706.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 5,,Mascotas,,,,,,,,,2897.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 6,,Mascotas,,,,,,,,,3161.0,,,,,,,,,,,,
Abrigo Polar Soft Fantasia Nº 7,,Mascotas,,,,,,,,,3375.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 0,1906068.0,Mascotas,,,,,,,,,1585.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 1,1906068.0,Mascotas,,,,,,,,,1852.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 10,1906068.0,Mascotas,,,,,,,,,4097.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 11,1906068.0,Mascotas,,,,,,,,,4505.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 12,1906068.0,Mascotas,,,,,,,,,4862.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 2,1906068.0,Mascotas,,,,,,,,,1959.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 3,1906068.0,Mascotas,,,,,,,,,2138.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 4,1906068.0,Mascotas,,,,,,,,,2374.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 5,1906068.0,Mascotas,,,,,,,,,2592.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 6,1906068.0,Mascotas,,,,,,,,,2881.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 7,1906068.0,Mascotas,,,,,,,,,3160.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 8,1906068.0,Mascotas,,,,,,,,,3545.0,,,,,,,,,,,,
Abrigo Polar Soft Liso N° 9,1906068.0,Mascotas,,,,,,,,,3807.0,,,,,,,,,,,,
Abrigo Poleritas N° 4,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Abrigo Poleritas N° 5,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Aca No Aerosol x 440 cc.,1905327.0,Mascotas,,,7265.0,,,,,,,,,,,,,,,,,,
Acarox Aerosol Antiparasitario x 440 cc.,1905177.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Acedan x 10 cc.,4013.0,Veterinaria,,1710.0,0.0,,1800.0,,,,1955.0,,,,,,,,,,,,
Acido Envasado x 1 lt.,1906068.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Acido x 1 lt.,1905484.0,Liquidos,,,,,,,,,,,,,,472.0,,,,,,,789.0
Acido x 5 lt.,1905485.0,Liquidos,,,,,,,,,,,,,,,,,,,,,
Acido x 500 cc.,1906096.0,Liquidos,,,,,,,,,,,,,,446.0,,,,,,,430.0
Acondicionador Osspret x 250 cc.,1905273.0,Mascotas,,,,,,,,,4260.0,,,,,,,,,,,,
Advance Gato Urinary,1905281.0,Gato Granel,,,,,,,,,,,,,,,,,,,,,
Advance Gato Urinary x 8 kg.,1905279.0,Gato,,,,,27650.0,,,,,,,,,,,,,,,,
Afrechillo Rabacillo,5129.0,Balanceados Granel,,,,,,,,,,,,,,,,,,,,,
Afrechillo Rabacillo x 20 kg.,1179.0,Balanceados,,6726.0,,6565.0,,,,,,,,,,,,,,,,,
Agility,5008.0,Perro Adulto Granel,,,,,,,,,,,,,,,,,,,,,
Agility Cachorro,1905635.0,Perro Cachorro Granel,,,,,,,,,,,,,,,,,,,,,
Agility Cachorro x 20 kg.,1905634.0,Perro Cachorro,,,42982.0,,,,,,,,,,,,,,,,,,
Agility Gatitos,5005.0,Gato Granel,,,,,,,,,,,,,,,,,,,,,
Agility Gatitos x 10 kg.,1005.0,Gato,,38486.0,40810.0,,40170.0,,,,,,,,,,,,,,,,
Agility Gato,5007.0,Gato Granel,,,,,,,,,,,,,,,,,,,,,
Agility Gato Urinary,5006.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Agility Gato Urinary x 10 kg.,1006.0,Gato,,38486.0,40810.0,,40170.0,,,,,39965.42,,,,,,,,,,,
Agility Gato x 10 kg.,1007.0,Gato,,35535.0,37681.0,,37070.0,,,,,36912.76,,,,,,,,,,,
Agility Gato/Perro Latas,1905166.0,Mascotas,,,2607.0,,,,,,,2266.0,,,,,,,,,,,
Agility x 20 kg.,1008.0,Perro Adulto,,35900.0,37384.0,,37380.0,,,,,37559.4,,,,,,,,,,,
Alcohol Bialcohol 70% 250 cc.,1905573.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Alcohol Etilico San Iginio 500 cc.,1905957.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Alcohol Gel Biancohol x 250 cc.,1905636.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Alfalfa Cubos Mini x 5 u.,2001.0,Mascotas,,,,1773.0,,,,,2346.0,2080.0,,,,,,,,,,,
Alfombra PVC p/ Baño,1905757.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Alfombras Paños Max,6022.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Alfombras Paños Max x 10 u.,2022.0,Mascotas,,,10023.0,,,,,,9445.0,10800.0,,,,,,,,,,,
Alfombras Paños Mini,6021.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Alfombras Paños Mini x 10 u.,2021.0,Mascotas,,,6965.0,,,,,,6562.0,6800.0,,,,,,,,,,,
Alguicida Clorotec x 1 lt.,1905473.0,Pileta,,,,,,,,,,,,,,,,,,,,,
Alguicida Nataclor x 1 lt.,1905940.0,Pileta,,,,,,,,,3752.0,,,,,,,,,,,,
Alguicida Suelto x 1 lt.,1905925.0,Pileta,,,,,,,,,,,,,,1483.0,,,,,,,
Alicate c/ Lima Chico,44480.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Alicate Chico Nuevo Sol,1906068.0,Mascotas,,,,,,,,,2116.0,,,,,,,,,,,,
Alicate Grande Nuevo Sol,1906068.0,Mascotas,,,,,,,,,2755.0,,,,,,,,,,,,
Alicate Tijera Chica,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Almohadones Irrompibles N° 2,8193.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Almohadones Irrompibles N° 3,8194.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Alpiste,9.0,Balanceados Granel,,,,,,,,,,,,,,,,,,,,,
Alpiste x 30 kg.,1009.0,Balanceados,,43835.0,,,,,,,,43120.0,,,,,,,,,,,
Antibiotico EG Sobre x 25 grs.,1905325.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Anticonceptivos Elmer x 8 u.,1906141.0,Veterinaria,,,,,,,,,1966.0,,,,,,,,,,,,
Anticonceptivos Elmer x u.,1906090.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Antihumedad,1905641.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Antihumedad Aire Puro Mini,1905642.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Aparato Analogico,1905637.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Aparato Aromatizador Glade,1905859.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Aparato Aromatizador Make,1905638.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Apresto Robin x 500 cc.,1905640.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Apto Desparasitario Blister x 4 u.,4019.0,Veterinaria,,,,,,,,0.0,,,,,,,,,,,,,
Apto x u.,6035.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Arnes Cazador T° XXL,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Arnes Reforzado T° L,44481.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Aro Caucho Grande Color,44483.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Aro Multicolor Grande,44484.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Aromatizante Make,1905643.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Aromatizante Max Aromas,1905644.0,Limpieza,,,,,,,,,,,,,,850.0,,,,,,,
Arroz,5013.0,Balanceados Granel,,,,,,,,,,,,,,,,,,,,,
Arroz Gran Campeon,5010.0,Balanceados Granel,,,,,,,,,,,,,,,,,,,,,
Arroz Gran Campeon x 15 kg.,1010.0,Balanceados,13043.0,,,,,,,,,,,,,,,,,,,,
Arroz x 30 kg.,1013.0,Balanceados,25812.0,26754.0,,26724.0,,,,,,25323.0,,,,,,,,,,,
Avena,5014.0,Balanceados Granel,,,,,,,,,,,,,,,,,,,,,
Avena x 35 kg.,1014.0,Balanceados,12455.0,,,,,,,,,,,,,,,,,,,,
Ayudin Antigrasa Doy Pack x 450 cc.,1906009.0,Limpieza,,,,,,,,,,,1174.99,,,,,,,,,,
Ayudin Antihongos x 450 cc.,1905588.0,Limpieza,,,,,,,,,,,1385.0,,,,,,,,,,
Ayudin Baño Expert Doy Pack x 450 cc.,1906092.0,Limpieza,,,,,,,,,,,1465.0,,,,,,,,,,
Ayudin Baño Experto Gatillo,1905645.0,Limpieza,,,,,,,,,,,2955.0,,,,,,,,,,
Ayudin Baño x 450 cc.,1905574.0,Limpieza,,,,,,,,,,,1385.0,,,,,,,,,,
Ayudin Expert Aerosol Desinfectante x 330 cc.,1906002.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Ayudin Pastilla Inodoro Canasta 16 grs.,1905575.0,Limpieza,,,,,,,,,,,2220.0,,,,,,,,,,
Azufre x 5 u.,1905977.0,Limpieza,,,,,,,,,,,,,,,,,,,,498.0,
Babosil Cebo Micropellets x 200 grs.,1906148.0,Venenos,,,,,,,,,2513.0,,,,,,,,,,,,
Babosil Cebo Pellets x 200 grs.,1906147.0,Venenos,,,,,,,,,1798.0,,,,,,,,,,,,
Babosil Cebo x 200 grs.,1905534.0,Venenos,,1266.0,1234.0,,,,,,1054.0,1520.0,,,,,,,,1024.0,,,
Babosil Micropellets x 100 grs.,1905535.0,Venenos,,,1297.0,,,,,,,,,,,,,,,,,,
Babosil Pellets x 250 grs.,1905536.0,Venenos,,,2104.0,,,,,,,,,,,,,,,,,,
Babs Aerosol Ambiental x 415 cc.,4340.0,Mascotas,,,,,,,,,,5600.0,,,,,,,,,,,
Babs Polvo Pulguicida 80 grs.,4022.0,Mascotas,,2236.0,3340.0,,,,,,,,,,,,,,,,,,
Babs Pulguicida x 120 cc.,4023.0,Veterinaria,,1386.0,2751.0,,,,,,,,,,,,,,,,,,
Babs Pulguicida x 70 cc.,4024.0,Veterinaria,,980.0,2088.0,,,,,,,,,,,,,,,,,,
Balde Escurridor x 14 lts.,1905647.0,Limpieza,,,,,,,,,,,,,,,,,,5462.0,,,
Balde Escurridor x 9 lts.,1905646.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Balde Gaveplast Negro x 10 lts.,1905648.0,Limpieza,,,,,,,,,,,,,,,,,,1348.0,,,
Balde Gaveplast x 10 lts.,1905890.0,Limpieza,,,,,,,,,,,,,,,,,,1493.0,,,
Balde La Porteña x 10 lts.,1905614.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Balde Quechua x 12 lts.,1905615.0,Limpieza,,,,,,,,,,,,,,,,,,1554.0,,,
Bandeja Sanitaria Grande,1905903.0,Mascotas,,,5008.0,,,,,,5614.0,2400.0,,,,,,,,,,,
Bandeja Sanitaria Jumbo,44394.0,Mascotas,,,0.0,,,,,,,,,,,,,,,,,,
Bandeja Sanitaria Mediana,44485.0,Mascotas,,,5008.0,,,,,,1604.0,6000.0,,,,,,,,,,,
Bañera Colores,1905650.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Bañera Dif Plast,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bañera Gauchita,1906068.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Barrefondo,1905897.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
Barrehojas Economico,1905658.0,Pileta,,,,,,,,,,,,,,0.0,,,,452.0,,,
Barrehojas Grande,1905659.0,Pileta,,,,,,,,,,,,,,,,,,,,,
Barrehojas Profesional,1905660.0,Limpieza,,,,,,,,,,,,,,,,,,1518.0,,,
Barrita de Cereal,1906093.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Base Resorte Gato,1905137.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Base x 20 kg.,1905165.0,Perro Adulto,,,,,,0.0,,,,,,,,,,,,,,,
Basken Comprimidos Chicos x 4 u.,2027.0,Veterinaria,,,0.0,,,,,,1406.0,,,,,,,,,,,,
Basken Comprimidos Chicos x Pastilla,6027.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Basken Comprimidos Gato x 4 u.,1906139.0,Veterinaria,,,,,,,,,1480.0,,,,,,,,,,,,
Basken Comprimidos Gatos x Pastilla,6029.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Basken Comprimidos Gigantes x 3 u.,2026.0,Veterinaria,,,0.0,,,,,,2911.0,,,,,,,,,,,,
Basken Comprimidos Gigantes x Pastilla,6026.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Basken Comprimidos Grandes x 4 u.,2025.0,Veterinaria,,,0.0,,,,,,2299.0,,,,,,,,,,,,
Basken Comprimidos Grandes x Pastilla,6025.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Basken Comprimidos Medianos x 4 u.,2024.0,Veterinaria,,,,,,,,,1428.0,,,,,,,,,,,,
Basken Comprimidos Medianos x Pastilla.,6024.0,Veterinaria,,,,,,,,,,,,,,,,,,,,,
Batea Sanitaria Mediana,8179.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Baygon Casa y Jardin Aerosol,1905796.0,Venenos,,,,,,,2150.0,,,,,,,,,,,,,,
Baygon Mata Moscas/Mosquitos Aerosol x 300 cc.,1905800.0,Venenos,,,,,,,2150.0,,,,3045.0,,,,,,,,,,
Bebe,5015.0,Balanceados Granel,,,,,,,,,,,,,,,,,,,,,
Bebe x 25 kg.,1905330.0,Balanceados,8992.0,0.0,,,,,,,,,,,,,,,,,,,
Bebe x 30 kg.,1016.0,Balanceados,,,,11328.0,,,,,,,,,,,,,,,,,
Bebedero Aves Rosca,1906145.0,Mascotas,,,,,,,,,265.0,,,,,,,,,,,,
Bebedero Hamster Plastico Chico,1905293.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bebedero Hamster Plastico Grande,1905295.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bebedero Hamster Plastico Mediano,1905294.0,Mascotas,,,,,,,,,1987.0,,,,,,,,,,,,
Bionico x 20 kg.,1905164.0,Perro Adulto,,,,,,,,,,,,,,,,,,,,,
Biopet,5018.0,Perro Adulto Granel,,,,,,,,,,,,,,,,,,,,,
Biopet Cachorro,5016.0,Perro Cachorro Granel,,,,,,,,,,,,,,,,,,,,,
Biopet Cachorro x 15 kg.,1018.0,Perro Cachorro,,19802.0,19684.0,,0.0,0.0,,,,20462.0,,,,,,,,,,,
Biopet Cordero,5016.0,Perro Adulto Granel,,,,,,,,,,,,,,,,,,,,,
Biopet Cordero x 20 kg.,5016.0,Perro Adulto,,,,,15450.0,,,,,,,,,,,,,,,,
Biopet Gato,1905460.0,Gato Granel,,,,,,,,,,,,,,,,,,,,,
Biopet Gato x 10 kg.,1905459.0,Gato,,,,,,,,,,,,,,,,,,,,,
Biopet Razas Pequeñas,5017.0,Perro Adulto Granel,,,,,,,,,,,,,,,,,,,,,
Biopet Razas Pequeñas x 15 kg.,31019.0,Perro Adulto,,,15494.0,,19700.0,0.0,,,,16229.0,,,,,,,,,,,
Biopet x 20 kg.,1020.0,Perro Adulto,,19802.0,19684.0,,23150.0,17600.0,,,,18424.0,,,,,,,,,,,
Blem Aerosol Acero/Metal x 360 cc.,1905834.0,Limpieza,,,,,,,2599.0,,,,2235.0,,,,,,,,,,
Blem Aerosol Lavanda x 360 cc.,1906068.0,Limpieza,,,,,,,,,,,2835.66,,,,,,,,,,
Blem Aerosol Original x 360 cc.,1905854.0,Limpieza,,,,,,,2599.0,,,,2835.66,,,,,,,,,,
Blem Cera Roja x 450 cc.,1905803.0,Limpieza,,,,,,,2883.37293,,,,4535.0,,,,,,,,,,
Blem Incoloro x 450 cc.,1905802.0,Limpieza,,,,,,,2990.0,,,,4120.0,,,,,,,,,,
Blem Multisuperficie,1905847.0,Limpieza,,,,,,,,,,,,,,,,,,,,,
"Bocaditos Carne x 1,8 kg.",4347.0,Mascotas,,,0.0,,,,,,,,,,,,,,,,,,
"Bocaditos Mix x 1,8 kg.",4349.0,Mascotas,,,0.0,,,,,,,,,,,,,,,,,,
"Bocaditos Pollo x 1,8 kg.",4348.0,Mascotas,,,0.0,,,,,,,,,,,,,,,,,,
Bolsa Residuos 45 x 60,4033.0,Limpieza,,,,,,,,,,,,,,230.0,,,,386.0,,,
Bolsa Residuos 50 x 70,4034.0,Limpieza,,,,,,,,,,,,,,300.0,,,,530.0,,,
Bolsa Residuos 60 x 90,4035.0,Limpieza,,,,,,,,,,,,,,490.0,,,,920.0,,,
Bolsa Residuos 80 x 110,4036.0,Limpieza,,,,,,,,,,,,,,830.0,,,,1641.0,,,
Bolsa Residuos 90 x 120,4039.0,Limpieza,,,,,,,,,,,,,,1090.0,,,,2331.0,,,
Bolso Burbuja Nuevo Sol,1905462.0,Mascotas,,,,,,,,,18351.0,,,,,,,,,,,,
Bolso Cartera Impermeable T° 3,1905463.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Cartera Impermeable T° 4,1905464.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Fantasia c/ Red Chico T° 2,1905077.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Fantasia c/ Red Mediano T° 3,1905078.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Pet Carrier,1906068.0,Mascotas,,,,,,,,,37534.0,,,,,,,,,,,,
Bolso Tela Grande Semirigido,44486.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Transportador Cuadrado Chico,1905431.0,Mascotas,,,,,,,,,12240.0,,,,,,,,,,,,
Bolso Transportador Cuadrado Grande,1905431.0,Mascotas,,,,,,,,,15240.0,,,,,,,,,,,,
Bolso Transportador N° 1,8182.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Transportador N° 2,8183.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bolso Transportador N° 3,8184.0,Mascotas,,,,,,,,,,,,,,,,,,,,,
Bombillas Espiral Color,1905753.0,Limpieza,,,,,,,,,,,,,,,,,,,,498.0,
Boya Economica,1905850.0,Pileta,,,,,,,,,705.0,,,875.0,,,,,,,,,
Boya Mini,1905898.0,Pileta,,,,,,,,,,,,650.0,,,,,,,,,
Boya Satelite Grande,1906094.0,Pileta,,2744.0,,,,,,,1868.0,,,2065.0,,,,,,,,,
Boya Satelite Mediana,1906095.0,Pileta,,,,,,,,,1005.0,,,1456.0,,,,,,,,,
Bozal Canasta N° 1,4046.0,Mascotas,,,,,,,,,,2600.0,,,,,,,,,,,
Bozal Canasta N° 2,4047.0,Mascotas,,,,,,,,,,2800.0,,,,,,,,,,,
Bozal Canasta N° 3,4048.0,Mascotas,,,,,,,,,,3200.0,,,,,,,,,,,
Bozal Canasta N° 4,4049.0,Mascotas,,,,,,,,,,3360.0,,,,,,,,,,,
Bozal Canasta N° 5,4050.0,Mascotas,,,,,,,,,,3440.0,,,,,,,,,,,
Bozal Canasta N° 6,4051.0,Mascotas,,,,,,,,,,4000.0,,,,,,,,,,,
Bozal Canasta N° 7,4052.0,Mascotas,,,,,,,,,,4400.0,,,,,,,,,,,
Bozal Canasta Pack x 7 u.,1905329.0,Mascotas,,,,,,,,,19880.0,,,,,,,,,,,,
